timestamp,status,benchmark,case,selector,output_or_reason
2025-11-12 06:22:32,SUCCESS,pu-met-fast-036,case-1,id=7,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-met-fast-036/case-1/materials/mgxs/id-7/Cadmium_reflector.h5
2025-11-12 06:22:43,SUCCESS,ieu-met-fast-006,case-2,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/ieu-met-fast-006/case-2/materials/mgxs/id-2/Duralumin_reflector_#1.h5
2025-11-12 06:22:46,SUCCESS,ieu-met-fast-006,case-2,id=3,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/ieu-met-fast-006/case-2/materials/mgxs/id-3/Duralumin_reflector_#2.h5
2025-11-12 06:22:53,SUCCESS,heu-met-fast-022,case-2,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-022/case-2/materials/mgxs/id-2/Duralumin_reflector.h5
2025-11-12 06:22:57,FAIL,heu-met-fast-003,case-10,id=2,EXIT 255
2025-11-12 06:23:37,SUCCESS,heu-sol-therm-011,case-2,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-sol-therm-011/case-2/materials/mgxs/id-2/1100_Aluminum.h5
2025-11-12 06:23:39,SUCCESS,heu-met-fast-003,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-1/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:23:41,SUCCESS,heu-sol-therm-011,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-sol-therm-011/case-1/materials/mgxs/id-2/1100_Aluminum.h5
2025-11-12 06:23:43,SUCCESS,pu-sol-therm-006,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-sol-therm-006/case-1/materials/mgxs/id-2/347_stainless_steel.h5
2025-11-12 06:23:43,SUCCESS,pu-met-fast-005,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-met-fast-005/case-1/materials/mgxs/id-2/material.h5
2025-11-12 06:23:49,SUCCESS,pu-sol-therm-006,case-3,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-sol-therm-006/case-3/materials/mgxs/id-2/347_stainless_steel.h5
2025-11-12 06:24:08,SUCCESS,pu-sol-therm-006,case-2,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-sol-therm-006/case-2/materials/mgxs/id-2/347_stainless_steel.h5
2025-11-12 06:24:11,FAIL,heu-met-fast-003,case-8,id=2,EXIT 255
2025-11-12 06:24:16,SUCCESS,heu-met-fast-003,case-3,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-3/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:24:33,SUCCESS,heu-met-fast-003,case-12,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-12/materials/mgxs/id-2/Nickel.h5
2025-11-12 06:24:40,SUCCESS,heu-met-fast-003,case-4,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-4/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:24:42,SUCCESS,heu-met-fast-003,case-6,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-6/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:24:58,FAIL,spec-met-fast-003,case-1,id=1,EXIT -11
2025-11-12 06:24:59,SUCCESS,heu-met-fast-003,case-2,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-2/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:25:10,SUCCESS,heu-met-fast-003,case-5,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-5/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:25:11,FAIL,heu-met-fast-003,case-9,id=2,EXIT 255
2025-11-12 06:25:21,SUCCESS,heu-met-fast-003,case-7,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-003/case-7/materials/mgxs/id-2/Tuballoy.h5
2025-11-12 06:25:35,SUCCESS,pu-met-fast-044,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-met-fast-044/case-1/materials/mgxs/id-2/Nickel_coating.h5
2025-11-12 06:25:51,FAIL,u233-met-fast-002,case-1,id=1,EXIT -11
2025-11-12 06:26:23,SUCCESS,pu-met-fast-044,case-1,id=4,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/pu-met-fast-044/case-1/materials/mgxs/id-4/Tamper.h5
2025-11-12 06:26:24,FAIL,pu-met-fast-044,case-1,id=5,EXIT 255
2025-11-12 06:26:52,FAIL,heu-met-fast-032,case-3,id=1,EXIT -11
